id,img,type,title,actor,score,link,source
20,//puui.qpic.cn/vcover_vt_pic/0/4ins96adw2a5rfv1567562656/220,剧情,精英部队2：大敌当前,主演：瓦格纳·马拉 安德烈·拉米罗 米尔黑·考塔兹 玛利亚·瑞贝罗 伊兰迪尔·桑托斯,9.2 ,https://v.qq.com/x/cover/4ins96adw2a5rfv.html,https://v.qq.com/txp/iframe/player.html?vid=d0028novww9
21,//puui.qpic.cn/vcover_vt_pic/0/wtr1lrmk9w72j6x1555916464/220,剧情,巴霍巴利王：开端,主演：帕拉巴斯 拉纳·达格巴提 安努舒卡·谢蒂 特曼娜·芭蒂亚,8.5 ,https://v.qq.com/x/cover/wtr1lrmk9w72j6x.html,https://v.qq.com/txp/iframe/player.html?vid=y0021n00kgf
22,//puui.qpic.cn/vcover_vt_pic/0/uecexs5vdqcsfkft1444903065.jpg/220,剧情,夺帅,主演：任达华 吴京 恬妞 李修贤 洪金宝,7.9 ,https://v.qq.com/x/cover/uecexs5vdqcsfkf.html,https://v.qq.com/txp/iframe/player.html?vid=v0023g279po
23,//puui.qpic.cn/vcover_vt_pic/0/mzc00200ev63oql1612183781246/220,剧情,顶牛,主演：陈佩斯 陈大愚,7.6 ,https://v.qq.com/x/cover/mzc00200ev63oql.html,https://v.qq.com/txp/iframe/player.html?vid=z003523ai1b
24,//puui.qpic.cn/vcover_vt_pic/0/bok67qa8snhlg0b1569581891/220,剧情,比悲伤更悲伤的故事,主演：陈意涵 刘以豪 张书豪 陈庭妮 吴映洁,7.2 ,https://v.qq.com/x/cover/bok67qa8snhlg0b.html,https://v.qq.com/txp/iframe/player.html?vid=w0030lpmj43
25,//puui.qpic.cn/vcover_vt_pic/0/4myi5m71d14pdmr1541657729/220,剧情,悲伤逆流成河,主演：赵英博 任敏 辛云来 章若楠 朱丹妮,7.8 ,https://v.qq.com/x/cover/4myi5m71d14pdmr.html,https://v.qq.com/txp/iframe/player.html?vid=c00287rxsd1
26,//puui.qpic.cn/vcover_vt_pic/0/luxx8xe8hybi2vp1556009315/220,剧情,一念天堂,主演：沈腾 马丽 杜晓宇 林雪,7.7 ,https://v.qq.com/x/cover/luxx8xe8hybi2vp.html,https://v.qq.com/txp/iframe/player.html?vid=h0019uqnsu2
27,//puui.qpic.cn/vcover_vt_pic/0/we35g3aduiwkudpt1466645487.jpg/220,剧情,大鱼海棠,惊艳中国画风美哭你,8.2 ,https://v.qq.com/x/cover/we35g3aduiwkudp.html,https://v.qq.com/txp/iframe/player.html?vid=u0021lcrkp2
28,//puui.qpic.cn/vcover_vt_pic/0/20lmr7rqqw8hxo31512031990/220,剧情,英雄本色3,主演：周润发 梅艳芳 梁家辉 张可颐 时任三郎,8.5 ,https://v.qq.com/x/cover/20lmr7rqqw8hxo3.html,https://v.qq.com/txp/iframe/player.html?vid=a0017hzacpa
29,//puui.qpic.cn/vcover_vt_pic/0/db2e4g0eyqrenbnt1444814452.jpg/220,剧情,第三种爱情,主演：刘亦菲 宋承宪 欧弟 江语晨,7.4 ,https://v.qq.com/x/cover/db2e4g0eyqrenbn.html,https://v.qq.com/txp/iframe/player.html?vid=a0018b07ptf
